id,stageName,summonMonsterId,moveAbleStage,getableItemTable,extraHP,extraMP,extraATK,extraDEF,extraSpeed,extraAtkSpeed,TimeLineOP,TimeLineED
60000000,1-1,10000001,60000001; 60000002; 60000003,40000000; 20010003; 20010008,100,100,100,100,0.5,0.5,1-1,1-1
60000001,2-1,10000002,60000004; 60000005,40000000; 20010004; 20010009,100,100,100,100,0.5,0.5,2-1,2-1
60000002,2-2,10000003,60000004; 60000005; 60000006,40000000; 20010005; 20010010,100,100,100,100,0.5,0.5,2-2,2-2
60000003,2-3,10000004,60000005; 60000006,40000000; 20010006; 20010011,100,100,100,100,0.5,0.5,2-3,2-3
60000004,3-1,10000005,60000007; 60000008,40000000; 20010003; 20010008,100,100,100,100,0.5,0.5,3-1,3-1
60000005,3-2,10000006,60000007; 60000008; 60000009,40000000; 20010004; 20010009,100,100,100,100,0.5,0.5,3-2,3-2
60000006,3-3,10000007,60000008; 60000009,40000000; 20010005; 20010010,100,100,100,100,0.5,0.5,3-3,3-3
60000007,4-1,10000008,60000008; 60000010,40000000; 20010006; 20010011,100,100,100,100,0.5,0.5,4-1,4-1
60000008,4-2,10000009,60000010,40000000; 20010003; 20010008,100,100,100,100,0.5,0.5,4-2,4-2
60000009,4-3,10000010,60000008; 60000010,40000000; 20010004; 20010009,100,100,100,100,0.5,0.5,4-3,4-3
60000010,5,10000011,,,100,100,100,100,0.5,0.5,5,5
