id,monsterName,maxHp,maxMp,attackPower,defense,attackSpeed,statusEffect,moveSpeed,detectRange,useSkill
10000000,Test,1000.0,0,100,0,1.0f,,1.0f,10,
10000001,SmileMachine,60000.0,0,10,0,1.0f,,1.0f,10,70010001
10000002,SmileMachin_UseGun,120000.0,0,10,0,1.0f,,3.0f,10,70010002
10000003,SmileMachin_UseFire,120000.0,0,10,0,1.0f,,1.0f,10,70010003
10000004,SmileMachin_UseMissile,120000.0,0,10,0,1.0f,,1.0f,10,70010004
10000005,SpiderMachine_UseGrenade,120000.0,0,20,0,1.0f,,1.0f,10,70010005
10000006,SpiderMachine_UseIce,120000.0,0,20,0,1.0f,,1.0f,10,70010005
10000007,SpiderMachine_UseWeb,120000.0,0,20,0,1.0f,,1.0f,10,70010006
10000008,,,,,,,,,,
10000009,,,,,,,,,,
10000010,,,,,,,,,,
