id,skillName,monsterAttackType,monsterEffectType,effectValue,duration,range,knockbackDistance,comboSkillId,cooldown,mpCost,hitCount,skillUseRange,preCastTime
40010000,dummy,Skill,none,1.0f,0.0f,1.0f,0.0f,,0,0,1,1.0f,0.5f
40010001,Slash,Skill,none,1.0f,0.0f,1.0f,0.0f,,0,0,1,1.0f,0.5f
40010002,SmileMachine_Slash,Skill,none,1.0f,0.0f,1.0f,0.0f,,0,0,1,1.0f,0.0f
40010003,SmileMachine_Smash,Skill,Knockback,1.5f,1.0f,1.0f,4.0f,,0,0,1,3.0f,1.0f
40010004,SmileMachine_Kick,Skill,none,2.0f,0.0f,1.0f,0.0f,,0,0,1,1.0f,0.0f
40010005,SmileMachine_Slam,Skill,Groggy,3.0f,2.0f,1.0f,0.0f,,0,0,1,1.0f,1.0f
40010006,SmileMachine_Charge,Skill,Knockback,5.0f,1.0f,1.0f,4.0f,,0,0,1,5.0f,1.0f
40010007,SmileMachine_Shoot,Skill,none,1.0f,0.0f,1.0f,0.0f,,0,0,1,8.0f,0.0f
40010008,SmileMachine_Fire,Skill,Burn,0.3f,5.0f,5.0f,0.0f,,0,0,1,5.0f,1.0f
40010009,SmileMachine_Grenade,Skill,none,2.0f,0.0f,1.0f,0.0f,,0,0,1,10.0f,0.0f
40010010,SmileMachine_GroggyShoot,Skill,Groggy,1.0f,0.5f,1.0f,0.0f,,0,0,1,8.0f,0.5f
40010011,SmileMachine_FireShoot,Skill,Burn,0.5f,5.0f,1.0f,0.0f,,0,0,1,8.0f,0.5f
40010012,SmileMachine_Missile,Skill,none,1.5f,0.0f,1.0f,0.0f,,0,0,1,10.0f,0.0f
40010013,SpiderMachine_AttackLeft,Skill,none,1.0f,0.0f,1.0f,0.0f,,0,0,1,1.0f,0.0f
40010014,SpiderMachine_AttackRight,Skill,none,1.0f,0.0f,1.0f,0.0f,,0,0,1,1.0f,0.0f
40010015,SpiderMachine_AttackStamp,Skill,none,2.0f,0.0f,1.0f,0.0f,,0,0,1,1.0f,0.0f
40010016,SpiderMachine_TurnLeft,Skill,none,0.0f,0.0f,1.0f,0.0f,,0,0,1,1.0f,0.0f
40010017,SpiderMachine_TurnRight,Skill,none,0.0f,0.0f,1.0f,0.0f,,0,0,1,1.0f,0.0f
40010018,SpiderMachine_BackStep,Skill,none,0.0f,0.0f,1.0f,0.0f,,0,0,1,1.0f,0.0f
40010019,SpiderMachine_Fangfall,Skill,Groggy,3.0f,1.0f,1.0f,0.0f,,0,0,1,10.0f,0.5f
40010020,SpiderMachine_Spin,Skill,Knockback,2.5f,0.5f,1.0f,5.0f,,0,0,1,5.0f,0.5f
40010021,SpiderMachine_Bombardment,Skill,none,2.0f,0.0f,1.0f,0.0f,,0,0,1,30.0f,2.0f
40010022,SpiderMachine_IceShoot,Skill,Freeze,,5.0f,,,,,,,,
40010023,SpiderMachine_IceBurst,Skill,Freeze,4.0f,5.0f,,,,,,,,
40010024,SpiderMachine_IceField,Skill,Freeze,,5.0f,,,,,,,,
40010025,SpiderMachine_WebShoot,Skill,Slow,,10.0f,,,,,,,,
40010026,SpiderMachine_PoisonShoot,Skill,Poison,,5.0f,,,,,,,,
40010027,SpiderMachine_WebShootMap,Skill,Slow,,5.0f,,,,,,,,
40010028,,Skill,,,,,,,,,,,
40010029,,Skill,,,,,,,,,,,
40010030,,Skill,,,,,,,,,,,
40010031,,Skill,,,,,,,,,,,
